#gene ID	JGI gene ID					
#polyA	Indicate if gene has polyA tail					
#ortholog_name	gene name of D. discoideum ortholog					
#annotation	gene annotation of D. discoideum ortholog					
#go_terms	"GO terms associated with gene. Biological process, Molecular Function and Cellular Component ontologies are separated by || and each term within the ontology is separated by comma."					
#domains	Protein domain identified in gene. Separated by comma.					
#percent_mapability	The percent of mapable transcript nucleotides 					
#						
gene ID	polyA	ortholog_name	annotation	go_terms	domains	percent_mapability
47347	Y	pgtB	putative glycosyltransferase	biosynthesis	"Glycos_transf_1, Glycos_transf_2, GLYC_TRANS"	33.1307
47368	Y	DDB_G0283293	putative delta-1-pyrroline-5-carboxylate dehydrogenase	1-pyrroline-5-carboxylate dehydrogenase activity | mitochondrial matrix | proline biosynthesis | metabolism | oxidoreductase activity	"Aldedh, D1pyr5carbox1, ALDEHYDE_DEHYDR_CYS, ALDEHYDE_DEHYDR_GLU"	35.0574
47371	Y	estExt_Genewise1.C_1010025		membrane alanyl aminopeptidase activity | proteolysis and peptidolysis | cytosol alanyl aminopeptidase activity	"ALADIPTASE, Peptidase_M1"	33.9121
47397	Y	pheSA	"phenylalanine-tRNA ligase,  alpha subunit, phenylalanyl-tRNA synthetase,  alpha subunit"	tRNA ligase activity | phenylalanine-tRNA ligase activity | ATP binding | cytoplasm | tRNA aminoacylation for protein translation | phenylalanyl-tRNA aminoacylation | phenylalanine-tRNA ligase complex	"tRNA-synt_2d, pheS, AA_TRNA_LIGASE_II"	31.9184
47400	Y	vatA	vacuolar H+-ATPase A subunit	"hydrogen-transporting two-sector ATPase activity | ATP binding | ATP biosynthesis | ATP synthesis coupled proton transport | proton-transporting two-sector ATPase complex | hydrogen-transporting ATP synthase activity, rotational mechanism | hydrogen-transporting ATPase activity, rotational mechanism"	"ATP-synt_ab, ATP-synt_ab_C, ATP-synt_ab_N, V-ATPase_V1_A, ATPASE_ALPHA_BETA"	34.5964
47407	Y	lsm4	"LSM (like-Sm) domain-containing protein, putative U6 small nuclear ribonucleoparticle-associated protein"	nucleus | small nucleolar ribonucleoprotein complex | mRNA processing | ribonucleoprotein complex	"sp_Q9SDJ6_ORYSA_Q9SDJ6;, LSM, Sm"	23.8134
47411	Y	purH	"AICAR transformylase / IMP cyclohydrolase, inosine monophosphate cyclohydrolase / phosphoribosylaminoimidazolecarboxamide formyltransferase"	IMP cyclohydrolase activity | phosphoribosylaminoimidazolecarboxamide formyltransferase activity | purine nucleotide biosynthesis	"sp_Q86L14_DICDI_Q86L14;, AICARFT_IMPCHas, MGS, purH"	34.9552
47412	Y	DDB_G0276855	Hypothetical 54.5 kDa Trp-Asp repeats containing protein ZC302.2	1-alkyl-2-acetylglycerophosphocholine esterase activity	"sp_Q86AZ8_DICDI_Q86AZ8;, GPROTEINBRPT, WD40, WD40, LisH, CTLH, WD_REPEATS_2, WD_REPEATS_REGION, LISH, CTLH, WD_REPEATS_1"	33.4997
47417	Y	estExt_Genewise1.C_1030023		"alcohol dehydrogenase activity | alcohol dehydrogenase activity, metal ion-independent | alcohol dehydrogenase activity, zinc-dependent | alcohol dehydrogenase activity, iron-dependent | zinc ion binding | oxidoreductase activity"	"ADH_zinc_N, ADH_ZINC, CYTOCHROME_C"	33.2208
47436	Y	DDB_G0276075		calcium ion binding | homophilic cell adhesion | membrane	CADHERIN_1	27.9058
47438	Y	fnkB	"FNIP repeat-containing protein, FNIPK subfamily protein kinase, protein kinase,  STE group"	protein kinase activity | protein serine/threonine kinase activity | protein-tyrosine kinase activity | ATP binding | protein amino acid phosphorylation	"sp_O96611_DICDI_O96611;, Pkinase, FNIP, TyrKc, S_TKc, PROTEIN_KINASE_DOM, PROTEIN_KINASE_TYR"	34.4406
47441	Y	DDB_G0267924	"Na+/K+ ATPase, P-type ATPase, sodium/potassium-transporting ATPase alpha chain 2, transmembrane protein"	"catalytic activity | sodium:potassium-exchanging ATPase activity | ATP binding | cation transport | metabolism | monovalent inorganic cation transporter activity | ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism | monovalent inorganic cation transport | membrane | integral to membrane | hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances"	"CATATPASE, NAKATPASE, E1-E2_ATPase, Cation_ATPase_C, Cation_ATPase_N, Hydrolase, ATPase-IIC_X-K, ATPASE_E1_E2"	33.9545
47448	Y	DDB_G0286137				33.7236
47452	Y	purA	adenylosuccinate synthetase	adenylosuccinate synthase activity | GTP binding | purine nucleotide biosynthesis	"sp_PURA_DICDI_P21900;, Adenylsucc_synt, purA, ADENYLOSUCCIN_SYN_2, ADENYLOSUCCIN_SYN_1"	32.8006
47494	Y	tpsC	"alpha, alpha-trehalose-phosphate synthase, glycosyltransferase, trehalose 6-phosphate synthase, trehalose-phosphatase"	"alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity | trehalose-phosphatase activity | trehalose biosynthesis"	"Glyco_transf_20, Trehalose_PPase, T6PP"	35.2263
47503	Y	docA	"DOCK family protein, SH3 domain-containing protein, putative guanine nucleotide exchange factor (GEF)"	guanyl-nucleotide exchange factor activity | GTP binding | GTPase binding	"Ded_cyto, FKBP_PPIASE_1"	35.4571
47510	Y	rps15a	40S ribosomal protein S15a	structural constituent of ribosome | intracellular | ribosome | protein biosynthesis	"sp_Q86HE3_DICDI_Q86HE3;, Ribosomal_S8"	19.2152
47518	Y	DDB_G0276549	"RapGAP/RanGAP domain-containing protein, putative RapGAP"		"Rap_GAP, RAPGAP"	31.0559
47524	Y	DDB_G0276305	aldehyde dehydrogenase	aldehyde dehydrogenase (NAD) activity | metabolism | oxidoreductase activity	"Aldedh, ALDEHYDE_DEHYDR_GLU"	34.4545
47540	Y	DDB_G0293982		histone acetyltransferase activity		35.7931
47551	Y	psiC	PA14 domain-containing protein		Dicty_CTDC	33.7528
47601	Y	sec61a	"SecY family protein, protein transport protein SEC61 alpha subunit"	protein secretion | protein translocase activity | membrane	"SecY, 3a0501s007, SECY_1, SECY_2"	33.7175
47614	Y	rps28	40S ribosomal protein S28	structural constituent of ribosome | intracellular | ribosome | protein biosynthesis	"sp_RS28_YEAST_P02380;, Ribosomal_S28e, RIBOSOMAL_S28E"	30.1365
47628	Y	DDB_G0269560			Exo_endo_phos	31.74
47629	Y	fcsA	"fatty acyl-CoA synthetase, long-chain-fatty-acid-CoA ligase"	catalytic activity | long-chain-fatty-acid-CoA ligase activity | metabolism	"AMPBINDING, AMP-binding, AMP_BINDING"	33.758
47664	Y	pckA	phosphoenolpyruvate carboxykinase	phosphoenolpyruvate carboxykinase activity | phosphoenolpyruvate carboxykinase (ATP) activity | ATP binding | GTP binding | gluconeogenesis	"sp_Q86AY0_DICDI_Q86AY0;, PEPCK_ATP, pckA"	31.3294
47694	Y	thfA	methylenetetrahydrofolate dehydrogenase (NAD+)	catalytic activity | methylenetetrahydrofolate dehydrogenase activity | methylenetetrahydrofolate dehydrogenase (NAD+) activity | folic acid and derivative biosynthesis	"sp_Q86KU6_DICDI_Q86KU6;, THFDHDRGNASE, THF_DHG_CYH, THF_DHG_CYH_C"	29.9384
47696	Y	DDB_G0277789	"DUF726 family protein, transmembrane protein, vacuolar sorting protein 9 domain-containing protein"	"diacylglycerol pyrophosphate phosphatase activity | thiamin-pyrophosphatase activity | DNA helicase IV activity | UDP-2,3-diacylglucosamine hydrolase activity | bis(5'-nucleosyl)-tetraphosphatase activity | dATP pyrophosphohydrolase activity | pyrophosphatase activity | hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides | dihydroneopterin monophosphate phosphatase activity | dihydroneopterin triphosphate pyrophosphohydrolase activity"	DUF726	34.4252
47700	Y	uroc1	"urocanase, urocanate hydratase"	histidine catabolism | urocanate hydratase activity	"sp_Q86AX3_DICDI_Q86AX3;, Urocanase, hutU"	34.8214
47703	Y	DDB_G0283067				32.5561
47729	Y	ctsD	"cathepsin D, preprocathepsin D"	aspartic-type endopeptidase activity | cathepsin D activity | pepsin A activity | proteolysis and peptidolysis	"PEPSIN, Asp, ASP_PROTEASE"	30.8581
47751	Y	DDB_G0277047		catalytic activity | ubiquitin activating enzyme activity | ubiquitin-protein ligase activity | protein modification | ubiquitin cycle	"UBIQUITINACT, ThiF, UBACT, Ube1, UBA_NAD, NAD_BINDING, UBACT_REPEAT"	35.3683
47757	Y	argJ	"N-acetylglutamate synthetase, amino-acid N-acetyltransferase, ornithine transacetylase"	glutamate N-acetyltransferase activity | arginine biosynthesis	"sp_ARGJ_THENE_Q9Z4S1;, ArgJ, ArgJ"	32.7743
47774	Y	estExt_Genewise1.C_1230042		molecular function unknown | membrane	CDC50	29.9349
47784	Y	DDB_G0287037			"CBS, CBS, SNF4_REP"	35.3591
47799	Y	DDB_G0281925	ENSANGP00000025242 (Fragment).	"nucleic acid binding | ATP-dependent DNA helicase activity | ATP-dependent RNA helicase activity | helicase activity | ATP binding | ATP-dependent helicase activity | DNA-dependent ATPase activity | RNA-dependent ATPase activity | protein-transporting ATPase activity | DNA translocase activity | ATPase activity | single-stranded DNA-dependent ATP-dependent DNA helicase activity | ATPase activity, coupled | ATPase activity, uncoupled | ATPase activity, coupled to transmembrane movement of ions | ATPase activity, coupled to transmembrane movement of substances"	"DEAD, Helicase_C, DEXDc, HELICc, HELICASE, DEAD_ATP_HELICASE"	31.2619
47801	Y	DDB_G0282313	heat shock protein DnaJ family protein	protein folding | heat shock protein binding | unfolded protein binding	"DNAJPROTEIN, DnaJ_CXXCXGXG, DnaJ_C"	35.6577
47824	Y	cycC	"cyclin, putative C-type cyclin"	regulation of cell cycle	"Cyclin_N, CYCLIN"	32.9948
47852	Y	estExt_Genewise1.C_1300033			FNIP	33.641
47864	Y	DDB_G0287927				31.5894
47873	Y	estExt_Genewise1.C_1310018		"nucleotide binding | DNA binding | ATP binding | nucleus | transport | integral to membrane | ATPase activity | nucleoside-triphosphatase activity | ATPase activity, coupled to transmembrane movement of substances"	"sp_Q8ST87_DICDI_Q8ST87;, ABC_tran, ABC_membrane, AAA, DA_BOX, ABC_TRANSPORTER_2, MYB_1, ABC_TRANSPORTER_1"	35.0797
47891	Y	atp7a	"P-type ATPase, copper-transporting ATPase"	"catalytic activity | copper-exporting ATPase activity | copper ion binding | ATP binding | cation transport | copper ion transport | metabolism | mercury ion transporter activity | ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism | mercury ion transport | membrane | integral to membrane | hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances | metal ion transport | metal ion binding | metal ion transporter activity"	"CATATPASE, CUATPASEI, CUATPASE, HGSCAVENGER, E1-E2_ATPase, HMA, Hydrolase, TIGR00003, ATPase-IB1_Cu, ATPase-IB_hvy, HMA_2, ATPASE_E1_E2, HMA_1"	35.2436
47895	Y	copB	"adaptin N-terminal domain-containing protein, coatomer protein complex beta subunit"		Adaptin_N	35.0729
47902	Y	DDB_G0279275		transporter activity | transport | integral to membrane	MFS	34.6514
47905	Y	phr2AB	"protein phosphatase 2A B55 regulatory subunit, protein phosphatase 2A regulatory subunit, serine/threonine-protein phosphatase 2A regulatory subunit"	protein phosphatase type 2A activity | protein phosphatase type 2A complex | phosphoprotein phosphatase activity | calcium-dependent protein serine/threonine phosphatase activity | magnesium-dependent protein serine/threonine phosphatase activity | magnesium-dependent protein serine/threonine phosphatase complex | signal transduction | CTD phosphatase activity | calcium-dependent protein serine/threonine phosphatase regulator activity | protein phosphatase type 2A regulator activity | protein phosphatase type 2C activity | myosin phosphatase activity | myosin phosphatase regulator activity | myosin phosphatase complex | protein phosphatase type 2B activity	"PP2APR55, WD40, WD40, WD_REPEATS_1, PR55_1, PR55_2"	26.4815
47917	Y	manF	alpha-mannosidase	alpha-mannosidase activity | carbohydrate metabolism	"Glyco_hydro_38, Golgi alpha-mannosidase II"	32.9884
47921	Y	DDB_G0287621				33.6693
47922	Y	abpA	"actin binding protein A, actin bundling protein, alpha actinin, alpha actinin 1"	actin binding | calcium ion binding	"sp_AACT_DICDI_P05095;, efhand, CH, Spectrin, CH, EFh, SPEC, CH, SPEC_REPEAT, EF_HAND_2, EF_HAND, ACTININ_1, ACTININ_2"	34.4849
47938	Y	DDB_G0269968			ARM_REPEAT	33.2328
47947	Y	estExt_Genewise1.C_1360005				32.6341
47964	Y	cafA	calfumirin-1	calcium ion binding	"sp_Q8BIC4_MOUSE_Q8BIC4;, efhand, EFh, EF_HAND_2, EF_HAND"	27.9983
47972	Y	rabC	Rab GTPase	"two-component signal transduction system (phosphorelay) | DNA binding | GTP binding | regulation of transcription, DNA-dependent | intracellular protein transport | small GTPase mediated signal transduction | protein transport"	"RASTRNSFRMNG, Ras, RAS, RHO, RAB, RAN, small_GTP, SIGMA54_INTERACT_1"	33.629
47974	Y	DDB_G0276579	Similar to Arabidopsis thaliana (Mouse-ear cress). peptide methionine sulfoxide reductase (Msr).	protein modification | protein-methionine-S-oxide reductase activity	"sp_Q869U0_DICDI_Q869U0;, PMSR, msrA"	23.7523
47976	Y	DDB_G0276657	NPC1 protein.	"transcription factor activity | intracellular | regulation of transcription, DNA-dependent | hedgehog receptor activity | membrane | integral to membrane | cholesterol transport"	"Patched, 2A060601, SSD, HTH_ARAC_FAMILY_1"	33.5192
4800	Y	eIF5b	eukaryotic translation initiation factor 5B	translation initiation factor activity | GTP binding | protein biosynthesis | translational initiation	"sp_IF2P_YEAST_P39730;, ELONGATNFCT, GTP_EFTU, small_GTP"	34.4061
48007	Y	pah	"phenylalanine 4-monooxygenase, phenylalanine hydroxylase"	monooxygenase activity | phenylalanine 4-monooxygenase activity | prephenate dehydratase activity | iron ion binding | metabolism | aromatic amino acid family metabolism | L-phenylalanine biosynthesis | amino acid binding	"sp_PH4H_RAT_P04176;, FYWHYDRXLASE, Biopterin_H, ACT, BIOPTERIN_HYDROXYL, PREPHENATE_DEHYDR_2"	33.5591
48011	Y	aco2	"aconitase,  mitochondrial, aconitate hydratase,  mitochondrial"	aconitate hydratase activity | mitochondrion | tricarboxylic acid cycle | metabolism | lyase activity | hydro-lyase activity	"sp_ACON_SCHPO_O13966;, ACONITASE, Aconitase, Aconitase_C, aconitase_mito, ACONITASE_1, ACONITASE_2"	34.0285
48016	Y	ap1b1	"adaptor-related protein complex 1,  beta 1 subunit, beta adaptin"		Adaptin_N	34.3675
48018	Y	estExt_Genewise1.C_1400001		catalytic activity | metabolism | propionate-CoA ligase activity	"AMPBINDING, AMP-binding"	35.7176
48051	Y	DDB_G0279583			HLH_1	34.4414
48061	Y	psmB3	"20S proteasome subunit beta-3, proteasome subunit beta type 3"	threonine endopeptidase activity | proteasome endopeptidase activity | proteasome core complex (sensu Eukaryota) | ubiquitin-dependent protein catabolism	"Proteasome, PROTEASOME_PROTEASE"	34.923
48065	Y	DDB_G0268966		catalytic activity | sterol esterase activity | lipid metabolism | carboxylic ester hydrolase activity	"Abhydrolase_1, Abhydro_lipase, ESTERASE"	26.783
48090	Y	DDB_G0275179	adenosine deaminase-related growth factor	purine ribonucleoside monophosphate biosynthesis | deaminase activity	"A_deaminase, adm_rel"	29.9937
48119	Y	DDB_G0293216		protein kinase activity | protein kinase CK2 activity | cAMP-dependent protein kinase activity | cAMP-dependent protein kinase complex | protein kinase CK2 complex | cAMP-dependent protein kinase regulator activity | protein kinase CK2 regulator activity		33.6836
48120	Y	vps35	vacuolar sorting protein 35		Vps35	32.8252
48126	Y	estExt_Genewise1.C_1470014				33.1684
48138	Y	DDB_G0281235				31.1263
48145	Y	rpl37A	"S60 ribosomal protein L37A, large subunit ribosomal protein"	structural constituent of ribosome | intracellular | ribosome | protein biosynthesis	"sp_Q962S6_SPOFR_Q962S6;, Ribosomal_L37ae, L37a"	33.4063
48169	Y	adh5	"alcohol dehydrogenase,  class 3, formaldehyde dehydrogenase, zinc-containing alcohol dehydrogenase (ADH)"	zinc ion binding | oxidoreductase activity	"ADH_zinc_N, NAD_BINDING, ADH_ZINC"	35.4763
48170	Y	gluA	beta glucosidase	"hydrolase activity, hydrolyzing O-glycosyl compounds | carbohydrate metabolism | beta-glucosidase activity"	"GLHYDRLASE3, Glyco_hydro_3, Glyco_hydro_3_C"	34.2356
48207	Y	rps21	40S ribosomal protein S21	structural constituent of ribosome | intracellular | ribosome | protein biosynthesis	"sp_RS21_ORYSA_P35687;, Ribosomal_S21e"	30.2908
48214	Y	DDB_G0270422	Q8NBS3 Sodium bicarbonate transporter-like protein 11 (Bicarbonate transporter-related protein-1).	inorganic anion exchanger activity | anion transport | anion exchanger activity | membrane | integral to membrane	"HCO3TRNSPORT, HCO3_cotransp"	33.9985
4822	Y	isw	"ATP-dependent chromatin-remodelling factor, CHR group protein, SNF2-related protein, helicase,  C-terminal domain-containing protein, myb domain-containing protein"	"diacylglycerol pyrophosphate phosphatase activity | nucleic acid binding | DNA binding | helicase activity | thiamin-pyrophosphatase activity | ATP binding | nucleus | ATP-dependent helicase activity | DNA helicase IV activity | UDP-2,3-diacylglucosamine hydrolase activity | bis(5'-nucleosyl)-tetraphosphatase activity | dATP pyrophosphohydrolase activity | pyrophosphatase activity | hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides | dihydroneopterin monophosphate phosphatase activity | dihydroneopterin triphosphate pyrophosphohydrolase activity"	"SNF2_N, Myb_DNA-binding, Helicase_C, ResIII, DEXDc, HELICc, SANT"	34.9509
48221	Y	estExt_Genewise1.C_1520031			Dicty_CTDC	23.6312
48233	Y	DDB_G0279183	P-type ATPase	"catalytic activity | ATP binding | cation transport | metabolism | ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism | membrane | integral to membrane | hydrolase activity | hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances | ATPase activity | ATP diphosphatase activity"	"CATATPASE, E1-E2_ATPase, Hydrolase, P-ATPase-V, ATPASE_E1_E2, COF_2"	33.6207
48249	Y	DDB_G0283821	"protein kinase,  STE group, putative protein serine/threonine kinase"	protein kinase activity | protein serine/threonine kinase activity | protein kinase CK2 activity | cAMP-dependent protein kinase activity | protein-tyrosine kinase activity | ATP binding | cAMP-dependent protein kinase complex | protein kinase CK2 complex | protein amino acid phosphorylation | cAMP-dependent protein kinase regulator activity | protein kinase CK2 regulator activity	"sp_Q8T2I8_DICDI_Q8T2I8;, TYRKINASE, Pkinase, TyrKc, S_TKc, PROTEIN_KINASE_DOM, PROTEIN_KINASE_ATP, PROTEIN_KINASE_ST"	33.6954
48253	Y	ercc4	DNA excision repair protein 4	"nucleic acid binding | nuclease activity | DNA metabolism | hydrolase activity, acting on ester bonds | phosphoric ester hydrolase activity"	ERCC4	34.1772
48259	Y	dng1	"PHD zinc finger-containing protein, inhibitor of growth (ING) family protein"	"DNA binding | regulation of transcription, DNA-dependent"	"PHD, PHD, ZF_PHD_2, ZF_PHD_1"	33.2004
48272	Y	DDB_G0278127				30.0655
4830	Y	sec24l	putative transport protein	protein binding | intracellular protein transport | ER to Golgi transport | COPII vesicle coat	"zf-Sec23_Sec24, Sec23_trunk, Sec23_helical"	35.2737
48303	Y	gefQ	Ras guanine nucleotide exchange factor	ubiquitin-protein ligase activity | guanyl-nucleotide exchange factor activity | intracellular signaling cascade | small GTPase mediated signal transduction	"RasGEF, RasGEF, RasGEFN, RASGEF_CAT, DEP, RASGEF_NTER"	31.0822
48322	Y	DDB_G0267868	Similar to Dictyostelium discoideum (Slime mold). hypothetical 97.7 kDa protein.		FNIP	33.6829
48337	Y	psmA7	"20S proteasome subunit alpha-7, proteasome subunit alpha type 7"	endopeptidase activity | threonine endopeptidase activity | proteasome endopeptidase activity | proteasome core complex (sensu Eukaryota) | ubiquitin-dependent protein catabolism	"Proteasome, PROTEASOME_PROTEASE, PROTEASOME_A"	35.855
48369	Y	DDB_G0283847	"cyclopropane fatty acid synthase, cyclopropane-fatty-acyl-phospholipid synthase"	methyltransferase activity | lipid biosynthesis | S-adenosylmethionine-dependent methyltransferase activity | cyclopropane-fatty-acyl-phospholipid synthase activity	"CMAS, MET_TRANS, SAM_BIND"	34.6479
48385	Y	prdx4	"peroxiredoxin, thioredoxin peroxidase"		AhpC-TSA	33.3458
48387	Y	DDB_G0274695	"Cdc15/Fes/CIP4 domain-containing protein, SH3 domain-containing protein"		"sp_Q8MML2_DICDI_Q8MML2;, SH3DOMAIN, SH3_1, FCH, SH3_2, FCH, SH3, SH3, FCH"	34.1917
48394	Y	estExt_Genewise1.C_1620003		catalytic activity | fatty acid biosynthesis | metabolism | transferase activity	"ketoacyl-synt, Acyl_transf_1, Ketoacyl-synt_C, B_KETOACYL_SYNTHASE"	6.41178
48405	Y	rpl32	S60 ribosomal protein L32	structural constituent of ribosome | DNA-directed RNA polymerase activity | intracellular | ribosome | transcription | protein biosynthesis	"sp_Q86JP7_DICDI_Q86JP7;, sp_Q86JP7_DICDI_Q86JP7;, RNA_pol_N, Ribosomal_L32e, RNA_POL_N_8KD"	35.4625
48413	Y	phbA	ortholog of the yeast Phb1p and other prohibitins that are inner mitochondrial membrane chaperones that stabilize newly synthesized proteins%3B also suggested to play a role in cell senescence		"PROHIBITIN, Band_7, PHB"	34.0113
48414	Y	DDB_G0288155	trimeric LpxA-like domain-containing protein		Hexapep	30.4563
48421	Y	pgkA	"calmodulin-binding protein, phosphoglycerate kinase"	phosphoglycerate kinase activity | glycolysis	"PHGLYCKINASE, PGK, N, PGLYCERATE_KINASE"	34.228
48481	Y	ubcB	ubiquitin conjugating enzyme	ubiquitin conjugating enzyme activity | ubiquitin-protein ligase activity | protein modification | ubiquitin cycle	"sp_Q94490_DICDI_Q94490;, UQ_con, UBCc, UBIQUITIN_CONJUGAT_2"	25.7034
48492	Y	dtd	D-tyrosyl-tRNA(Tyr) deacylase	"nuclease activity | cytoplasm | hydrolase activity, acting on ester bonds | D-amino acid catabolism | phosphoric ester hydrolase activity"	"sp_DTD1_MOUSE_Q9DD18;, Tyr_Deacylase, TIGR00256"	31.809
48509	Y	masA	malate synthase	malate synthase activity | glyoxylate cycle | tricarboxylic acid cycle	"Malate_synthase, malate_syn_A, MALATE_SYNTHASE"	34.2814
48520	Y	sdhA	"complex II,  flavoprotein subunit, succinate dehydrogenase (ubiquinone), succinic dehydrogenase"	"tricarboxylic acid cycle | electron transport | succinate dehydrogenase (ubiquinone) activity | disulfide oxidoreductase activity | oxidoreductase activity | oxidoreductase activity, acting on the CH-CH group of donors | FAD binding"	"FADPNR, PNDRDTASEI, FAD_binding_2, Succ_DH_flav_C, sdhA_frdA_Gneg, sdhA_forward, FRD_SDH_FAD_BINDING"	32.339
48521	Y	DDB_G0290593	unknown			33.0928
48523	Y	DDB_G0280575			"LEURICHRPT, LRR, LRR_RI, LRR_RI"	31.8699
48539	Y	xpo6	exportin 6		ARM repeat	32.7975
48542	Y	DDB_G0267796	"initiation factor eIF-4 gamma middle domain-containing protein, initiation factor eIF-4 gamma,  MA3 domain-containing protein, putative RNA splicing factor"	RNA binding	"MA3, MIF4G, MIF4G, MA3, ARM repeat"	35.2863
48548	Y	amtC	ammonium transporter	transport | ammonium transporter activity | membrane	"Ammonium_transp, amt, Cytochrome c oxidase subunit I-like"	29.4609
4855	Y	gxcD	"RhoGEF domain-containing protein, calponin homology (CH) domain-containing protein, villin headpiece (VHP) domain-containing protein"	actin binding | cytoskeleton organization and biogenesis	"SM22CALPONIN, CH, IQ, RhoGEF, VHP, CH, VHP, RhoGEF, DH_2, CH, IQ"	35.505
48551	Y	DDB_G0285941				33.2836
48588	Y	atg3	autophagy protein 3		"Autophagy_N, Autophagy_C"	31.455
48616	Y	mhcA	"myosin II heavy chain, myosin heavy chain"	motor activity | ATP binding | myosin	"sp_Q9BJD3_PHYPO_Q9BJD3;, MYOSINHEAVY, Myosin_head, IQ, Myosin_N, IQ, MYSc, IQ"	35.9135
48629	Y	kmo	"kynurenine 3-hydroxylase, kynurenine 3-monooxygenase"	monooxygenase activity | kynurenine 3-monooxygenase activity | electron transport | aromatic compound metabolism | metabolism | oxidoreductase activity	"RNGMNOXGNASE, Monooxygenase"	34.5124
48640	Y	ddj1	heat shock protein	protein folding | heat shock protein binding | unfolded protein binding	"DNAJPROTEIN, DnaJ, DnaJ_CXXCXGXG, DnaJ_C, DnaJ, DNAJ_2, DNAJ_1, DNAJ_CXXCXGXG"	32.4612
48646	Y	DDB_G0292780	RE27154p.		"SPRY, SPRY, LisH, CTLH, SPRY, LISH, CTLH"	32.3353
48651	Y	arsA	"arsenite transport subunit A, arsenite-translocating ATPase"	ATP binding | anion transport | arsenite-transporting ATPase activity | membrane | antimonite-transporting ATPase activity	"ArsA_ATPase, arsA"	34.8793
48677	Y	hipA	"ENTH domain-containing protein, I/LWEQ domain-containing protein, putative actin binding protein"	actin binding | protein kinase activity | protein kinase CK2 activity | cAMP-dependent protein kinase activity | phospholipid binding | cAMP-dependent protein kinase complex | protein kinase CK2 complex | cAMP-dependent protein kinase regulator activity | protein kinase CK2 regulator activity	"sp_TALA_DICDI_P54633;, ENTH, I_LWEQ, ANTH, ENTH, ILWEQ"	25.214
48687	Y	DDB_G0292848			CRYSTALLIN_BETAGAMMA	32.6367
48717	Y	estExt_Genewise1.C_1820036		nucleosome | DNA binding | nucleus | nucleosome assembly | chromosome organization and biogenesis (sensu Eukaryota)	"HISTONEH3, Histone, H3, HIST_TAF, HISTONE_H3_2"	32.0924
48733	Y	DDB_G0270726	pyridoxal phosphate-dependent decarboxylase family protein			34.3463
48737	Y	DDB_G0284485	short-chain dehydrogenase/reductase (SDR) family protein	3-oxoacyl-[acyl-carrier protein] reductase activity | metabolism | oxidoreductase activity	"SDRFAMILY, GDHRDH, adh_short"	30.118
48748	Y	DDB_G0284575	"Q9VK89 Probable N(2), N(2)-dimethylguanosine tRNA methyltransferase (EC 2.1.1.32) (tRNA(guanine-26, N(2)-N(2)) methyltransferase) (tRNA 2, 2-dimethylguanosine-26 methyltransferase) (tRNA(m(2, 2)G26)dimethyltransferase)."	RNA binding | tRNA (guanine-N2-)-methyltransferase activity | tRNA processing | S-adenosylmethionine-dependent methyltransferase activity	"TRM, TRM1, SAM_BIND"	34.7648
48766	Y	mhkB	"Alpha kinase family protein, MHCK subfamily protein kinase, myosin heavy chain kinase, protein kinase,  Atypical group, protein serine/threonine kinase"	protein serine/threonine kinase activity | transmembrane receptor protein serine/threonine kinase activity | 3-phosphoinositide-dependent protein kinase activity | DNA-dependent protein kinase activity | AMP-activated protein kinase activity | casein kinase activity | casein kinase I activity | calmodulin regulated protein kinase activity | eukaryotic elongation factor-2 kinase activity | multifunctional calcium- and calmodulin-regulated protein kinase activity | phosphorylase kinase activity | cyclic nucleotide-dependent protein kinase activity | cGMP-dependent protein kinase activity | cyclin-dependent protein kinase activity | eukaryotic translation initiation factor 2alpha kinase activity | galactosyltransferase-associated kinase activity | glycogen synthase kinase 3 activity | protein kinase C activity | calcium-dependent protein kinase C activity | atypical protein kinase C activity | diacylglycerol-activated phospholipid-dependent protein kinase C activity | receptor signaling protein serine/threonine 	"sp_KMHB_DICDI_P90648;, GPROTEINBRPT, WD40, Alpha_kinase, WD40, WD_REPEATS_2, WD_REPEATS_REGION, WD_REPEATS_1"	29.5643
48776	Y	rcbA	repC-binding protein A	nucleus | nucleotide-excision repair | protein modification	"RAD23PROTEIN, ubiquitin, UBA, UBA, UBQ, STI1, rad23, UBA, UBIQUITIN_2"	32.0685
48789	Y	arpD	"actin related protein 4, actin-like protein 6A"	protein binding	"ACTIN, Actin, ACTIN"	35.21
48793	Y	estExt_Genewise1.C_1890009		catalytic activity | fatty acid biosynthesis | metabolism | methyltransferase activity | zinc ion binding | S-adenosylmethionine-dependent methyltransferase activity | oxidoreductase activity | transferase activity | cofactor binding	"ADH_zinc_N, ketoacyl-synt, Acyl_transf_1, Ketoacyl-synt_C, ACP_DOMAIN, MET_TRANS, SAM_BIND, B_KETOACYL_SYNTHASE"	33.218
